Category,Source,Title,Link,Description,Stars,RelevanceScore,HasPublicModel,PhilippinesRelevant
Public Dataset/Model,Curated (Philippines),Philippines Waste / Basura Detection Datasets,https://universe.roboflow.com/search?q=philippines+waste,Search for Philippines-specific waste detection datasets on Roboflow. Some community-contributed PH waste datasets available.,🇵🇭 PH Data,25,True,True
Public Model,Curated,Roboflow Waste Detection Models,https://universe.roboflow.com/search?q=waste+detection,Roboflow Universe hosts many pre-trained waste/trash detection models with free API access for inference. Includes deploy-ready YOLOv5/v8 models.,⭐ Free API Available,22,True,False
Public Dataset/Model,Curated,TACO - Trash Annotations in Context,http://tacodataset.org/,Open image dataset of waste in the wild. Annotated with segmentation masks. Popular benchmark for trash detection models.,⭐ Reference Dataset,20,True,False
Public Model,Curated,HuggingFace Waste Classification Models,https://huggingface.co/models?search=waste+classification,HuggingFace hosts multiple waste classification models with free inference API. Many support image classification pipelines.,⭐ Free Inference API,20,True,False
GitHub Topic,Curated,pedropro/TACO (Trash Annotations in Context),https://github.com/pedropro/TACO,Official TACO dataset repo. 1500+ images with 4784 annotations across 60 categories. COCO-format. Includes training scripts.,⭐ 500+,20,True,False
Public Dataset/Model,Curated,TrashNet (garythung/trashnet),https://github.com/garythung/trashnet,"Dataset of 2527 images of trash (glass, paper, cardboard, plastic, metal, other). Widely used for waste classification models.",⭐ Classic Dataset,18,True,False
Research Paper,Curated,WasteNet / Waste Classification using Deep Learning,https://paperswithcode.com/task/waste-classification,"Papers With Code task page for waste classification. Lists SOTA models, benchmarks, and datasets. Great starting point for research.",⭐ SOTA Benchmark,18,True,False
Public Model,Curated,Google Cloud Vision API (Waste Label Detection),https://cloud.google.com/vision/docs/labels,Google Cloud Vision API can detect and label waste-related objects in images. Paid API with free tier (1000 requests/month).,⭐ Production API,15,True,False
Research Paper,arXiv,YOLO-SAT: A Data-based and Model-based Enhanced YOLOv12 Model for Desert Waste Detection and Classification,http://arxiv.org/abs/2511.03888v2,"The global waste crisis is escalating, with solid waste generation expected to increase tremendously in the coming years. Traditional waste collection methods, particularly in remote or harsh environments like deserts, are labor-intensive, inefficient, and often hazardous. Recent advances in computer vision and deep learning have opened the door to automated waste detection systems, yet most resea...",Published: 2025-11-05,15,True,False
Research Paper,arXiv,Efficient Object Detection of Marine Debris using Pruned YOLO Model,http://arxiv.org/abs/2501.16571v1,"Marine debris poses significant harm to marine life due to substances like microplastics, polychlorinated biphenyls, and pesticides, which damage habitats and poison organisms. Human-based solutions, such as diving, are increasingly ineffective in addressing this issue. Autonomous underwater vehicles (AUVs) are being developed for efficient sea garbage collection, with the choice of object detecti...",Published: 2025-01-27,13,True,True
Research Paper,arXiv,Intelligent Debris Mass Estimation Model for Autonomous Underwater Vehicle,http://arxiv.org/abs/2309.10617v3,"Marine debris poses a significant threat to the survival of marine wildlife, often leading to entanglement and starvation, ultimately resulting in death. Therefore, removing debris from the ocean is crucial to restore the natural balance and allow marine life to thrive. Instance segmentation is an advanced form of object detection that identifies objects and precisely locates and separates them, m...",Published: 2023-09-19,12,True,True
Research Paper,arXiv,Improving the Deployment of Recycling Classification through Efficient Hyper-Parameter Analysis,http://arxiv.org/abs/2110.11043v2,"The paradigm of automated waste classification has recently seen a shift in the domain of interest from conventional image processing techniques to powerful computer vision algorithms known as convolutional neural networks (CNN). Historically, CNNs have demonstrated a strong dependency on powerful hardware for real-time classification, yet the need for deployment on weaker embedded devices is grea...",Published: 2021-10-21,12,True,False
Research Paper,arXiv,Recyclable Waste Identification Using CNN Image Recognition and Gaussian Clustering,http://arxiv.org/abs/2011.01353v1,"Waste recycling is an important way of saving energy and materials in the production process. In general cases recyclable objects are mixed with unrecyclable objects, which raises a need for identification and classification. This paper proposes a convolutional neural network (CNN) model to complete both tasks. The model uses transfer learning from a pretrained Resnet-50 CNN to complete feature ex...",Published: 2020-11-02,12,True,False
Research Paper,arXiv,StreetView-Waste: A Multi-Task Dataset for Urban Waste Management,http://arxiv.org/abs/2511.16440v1,"Urban waste management remains a critical challenge for the development of smart cities. Despite the growing number of litter detection datasets, the problem of monitoring overflowing waste containers, particularly from images captured by garbage trucks, has received little attention. While existing datasets are valuable, they often lack annotations for specific container tracking or are captured ...",Published: 2025-11-20,11,True,True
Research Paper,arXiv,"An Integrated System for WEEE Sorting Employing X-ray Imaging, AI-based Object Detection and Segmentation, and Delta Robot Manipulation",http://arxiv.org/abs/2512.05599v1,"Battery recycling is becoming increasingly critical due to the rapid growth in battery usage and the limited availability of natural resources. Moreover, as battery energy densities continue to rise, improper handling during recycling poses significant safety hazards, including potential fires at recycling facilities. Numerous systems have been proposed for battery detection and removal from WEEE ...",Published: 2025-12-05,11,True,True
